scenario,approach,algorithm,feature,source_table,importance
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/amf-performance.csv.lat50,amf-performance.csv,0.0
scenarioN_target_n,Join_All_BFS_Filter,XGBoost,scenarioN_target_n/golang-web-server-performance.csv.ram_limit,golang-web-server-performance.csv,-0.16387362829621352
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.ram_usage,rabbitmq-performance.csv,195.14576431053092
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.cpu_usage,rabbitmq-performance.csv,22.55308399597994
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.ram_limit,rabbitmq-performance.csv,20.48029119554724
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.min,rabbitmq-performance.csv,7.431819253480765
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.lat75,rabbitmq-performance.csv,1.4423393477875734
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.lat99,rabbitmq-performance.csv,1.1686965434511394
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.lat50,rabbitmq-performance.csv,1.0531531526382758
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.lat95,rabbitmq-performance.csv,0.8877558668411126
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.dt.day,amf-performance.csv.dt,0.05082022247146654
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/golang-web-server-performance.csv.ram_limit,golang-web-server-performance.csv,0.03617856513260307
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.n,amf-performance.csv,0.012693272123150478
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.cpu_usage,amf-performance.csv,0.012098552729209188
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.ram_usage,amf-performance.csv,0.005035131896850231
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.lat99,amf-performance.csv,0.004628978371860626
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.mean,amf-performance.csv,0.0030490029494437466
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/rabbitmq-performance.csv.time,rabbitmq-performance.csv,0.0
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.lat98,amf-performance.csv,-0.0027087663676795158
scenarioN_target_n,Join_All_BFS_Filter,RandomForest,scenarioN_target_n/amf-performance.csv.lat100,amf-performance.csv,-0.003792166348124937
