scenarioB_seg01/amf-seg01-reduced.csv.time,scenarioB_seg01/amf-seg01-reduced.csv.ram_limit,scenarioB_seg01/amf-seg01-reduced.csv.cpu_limit,scenarioB_seg01/amf-seg01-reduced.csv.ram_usage,scenarioB_seg01/amf-seg01-reduced.csv.cpu_usage,scenarioB_seg01/amf-seg01-reduced.csv.n,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_limit,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.ram_usage,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.time,scenarioB_seg01/amf-performance_seg02_20211112_151228.csv.cpu_limit,lat99
1636559459,1024000000,1.0,1459998720.0,0.014787,50,1024000000,712429568.0,1636836750,0.5,1150385
1636559470,1024000000,1.0,1510084608.0,0.097368,60,4096000000,625266688.0,1636747294,3.5,1244827
1636559481,1024000000,1.0,1556021248.0,0.30259,70,768000000,852271104.0,1636807956,1.5,1294330
1636559493,1024000000,1.0,1559351296.0,0.30259,80,2048000000,1854062592.0,1636741632,4.0,2005879
1636559692,2048000000,2.0,482279424.0,0.011828,10,1792000000,602877952.0,1636815228,1.0,179559
1636559703,2048000000,2.0,546713600.0,0.011828,20,3328000000,507670528.0,1636799616,1.5,974660
1636559713,2048000000,2.0,590589952.0,0.014823,30,1536000000,325783552.0,1636849767,3.5,485127
1636559724,2048000000,2.0,624025600.0,0.014823,40,2816000000,1616252928.0,1636830189,0.5,671133
1636559735,2048000000,2.0,712847360.0,0.06962,50,1024000000,712429568.0,1636836750,0.5,908665
1636559746,2048000000,2.0,762994688.0,0.113841,60,4096000000,625266688.0,1636747294,3.5,1028222
1636559757,2048000000,2.0,813809664.0,0.280052,70,768000000,852271104.0,1636807956,1.5,1186095
1636559768,2048000000,2.0,822996992.0,0.243098,80,2048000000,1854062592.0,1636741632,4.0,1163389
1636559780,2048000000,2.0,822996992.0,0.243098,90,1024000000,1762451456.0,1636745785,4.0,1347926
1636559980,1024000000,2.0,489144320.0,0.043972,10,1792000000,602877952.0,1636815228,1.0,810535
1636559991,1024000000,2.0,557121536.0,0.049622,20,3328000000,507670528.0,1636799616,1.5,347371
1636560001,1024000000,2.0,601022464.0,0.052478,30,1536000000,325783552.0,1636849767,3.5,512721
1636560012,1024000000,2.0,634462208.0,0.0,40,2816000000,1616252928.0,1636830189,0.5,605103
1636560023,1024000000,2.0,723095552.0,0.043276,50,1024000000,712429568.0,1636836750,0.5,743490
1636560034,1024000000,2.0,773312512.0,0.043276,60,4096000000,625266688.0,1636747294,3.5,1388001
1636560045,1024000000,2.0,822394880.0,0.25367,70,768000000,852271104.0,1636807956,1.5,1283253
1636560057,1024000000,2.0,830910464.0,0.27619,80,2048000000,1854062592.0,1636741632,4.0,1243837
1636560255,2048000000,1.0,486690816.0,0.065981,10,1792000000,602877952.0,1636815228,1.0,176015
1636560265,2048000000,1.0,554594304.0,0.071028,20,3328000000,507670528.0,1636799616,1.5,372479
1636560276,2048000000,1.0,598528000.0,0.071028,30,1536000000,325783552.0,1636849767,3.5,605533
1636560287,2048000000,1.0,631713792.0,0.008673,40,2816000000,1616252928.0,1636830189,0.5,1026719
1636560298,2048000000,1.0,720396288.0,0.011597,50,1024000000,712429568.0,1636836750,0.5,1190643
1636560310,2048000000,1.0,770441216.0,0.011597,60,4096000000,625266688.0,1636747294,3.5,1956279
1636560322,2048000000,1.0,820129792.0,0.298907,70,768000000,852271104.0,1636807956,1.5,1475889
1636560334,2048000000,1.0,830296064.0,0.294144,80,2048000000,1854062592.0,1636741632,4.0,2030841
1636560346,2048000000,1.0,834723840.0,0.300571,90,1024000000,1762451456.0,1636745785,4.0,1634810
1636560358,2048000000,1.0,834936832.0,0.364677,100,3072000000,432267264.0,1636858644,3.0,1960758
1636560370,2048000000,1.0,434954240.0,0.364677,110,512000000,438013952.0,1636797487,2.0,2726223
1636560385,2048000000,1.0,440315904.0,0.276787,120,512000000,444276736.0,1636797499,2.0,4765557
1636560398,2048000000,1.0,447586304.0,0.508518,130,512000000,445648896.0,1636759049,3.5,2843193
1636560411,2048000000,1.0,453079040.0,0.399862,140,1024000000,446738432.0,1636807685,1.5,3056235
1636560429,2048000000,1.0,460136448.0,0.479414,150,3840000000,462327808.0,1636798831,1.5,7365006
1636560442,2048000000,1.0,468762624.0,0.627696,160,2304000000,469581824.0,1636739170,4.0,3593422
1636560456,2048000000,1.0,477798400.0,0.411616,170,2048000000,518111232.0,1636835220,0.5,3618612
1636560472,2048000000,1.0,535031808.0,0.675943,180,1536000000,516972544.0,1636757692,3.5,6182339
1636560493,2048000000,1.0,547258368.0,0.565968,190,3072000000,557694976.0,1636735927,4.0,10642522
1636560516,2048000000,1.0,555458560.0,0.569484,200,768000000,564191232.0,1636808125,1.5,12861585
1636560535,2048000000,1.0,565653504.0,0.516528,210,512000000,536338432.0,1636772242,3.0,9533428
1636560557,2048000000,1.0,576249856.0,0.628049,220,1280000000,587808768.0,1636786430,2.5,11499236
1636560581,2048000000,1.0,588324864.0,0.706661,230,1536000000,613822464.0,1636841867,4.0,14497638
1636560601,2048000000,1.0,598671360.0,0.883552,240,2048000000,608448512.0,1636860225,3.0,9763274
1636560819,1024000000,1.0,678531072.0,0.006386,10,1792000000,602877952.0,1636815228,1.0,211642
1636560830,1024000000,1.0,743182336.0,0.041714,20,3328000000,507670528.0,1636799616,1.5,837371
1636560840,1024000000,1.0,787193856.0,0.041714,30,1536000000,325783552.0,1636849767,3.5,478759
1636560851,1024000000,1.0,820486144.0,0.039366,40,2816000000,1616252928.0,1636830189,0.5,731500
1636560862,1024000000,1.0,909033472.0,0.047289,50,1024000000,712429568.0,1636836750,0.5,1086274
1636560874,1024000000,1.0,959217664.0,0.047289,60,4096000000,625266688.0,1636747294,3.5,1156202
1636560885,1024000000,1.0,1003356160.0,0.249708,70,768000000,852271104.0,1636807956,1.5,1218238
1636560897,1024000000,1.0,1020264448.0,0.334128,80,2048000000,1854062592.0,1636741632,4.0,2054931
1636560909,1024000000,1.0,1023762432.0,0.29257,90,1024000000,1762451456.0,1636745785,4.0,1685755
1636560921,1024000000,1.0,1023762432.0,0.361351,100,3072000000,432267264.0,1636858644,3.0,2765720
1636560933,1024000000,1.0,437243904.0,0.361351,110,512000000,438013952.0,1636797487,2.0,1965058
1636560946,1024000000,1.0,442617856.0,0.437509,120,512000000,444276736.0,1636797499,2.0,2744820
1636560960,1024000000,1.0,447709184.0,0.262928,130,512000000,445648896.0,1636759049,3.5,3779157
